artist_name,book_name,profile_url,publisher_name,publisher_profile_url
Anthony Wilson,Mawmaw,https://photobookers.com/creators/anthony-wilson,Guest Editions,https://photobookers.com/creators/guest-editions
Arthur Tress,"The Ramble, NYC 1969",https://photobookers.com/creators/arthur-tress,Stanley / Barker,https://photobookers.com/creators/stanley--barker
Ayman Kaake,99 Names,https://photobookers.com/creators/ayman-kaake,Tall Poppy Press,https://photobookers.com/creators/tall-poppy-press
Azumi Ishikawa,Ikebana,https://photobookers.com/creators/azumi-ishikawa,acb-press,https://photobookers.com/creators/acb-press
Balarama Heller,Sacred Place,https://photobookers.com/creators/balarama-heller,TIS Books,https://photobookers.com/creators/tis-books
Barbara Marstrand,Still Life of Teenagers,https://photobookers.com/creators/barbara-marstrand,DISKOBAY,https://photobookers.com/creators/diskobay
Beatriz Banha,MIDDAY MOON,https://photobookers.com/creators/beatriz-banha,SkinnerBoox,https://photobookers.com/creators/skinnerboox
Ben McQueen,LET IT KILL YOU,https://photobookers.com/creators/ben-mcqueen,Super Labo,https://photobookers.com/creators/super-labo
Beth Galton,COVID DIARY,https://photobookers.com/creators/beth-galton,Fall Line Press,https://photobookers.com/creators/fall-line-press
Bevan Davies,"Los Angeles, 1976",https://photobookers.com/creators/bevan-davies,Nazraeli Press,https://photobookers.com/creators/nazraeli-press
Bharat Sikka,Elephant in the Room,https://photobookers.com/creators/bharat-sikka,FW Books,https://photobookers.com/creators/fw-books
Birthe Piontek,Zero Hour,https://photobookers.com/creators/birthe-piontek,Gnomic Book,https://photobookers.com/creators/gnomic-book
Brandon Ruffin,Migration Patterns,https://photobookers.com/creators/brandon-ruffin,Setanta Books,https://photobookers.com/creators/setanta-books
Brendan Barry,Flowers for Bea,https://photobookers.com/creators/brendan-barry,GOST,https://photobookers.com/creators/gost
Brian Chorski,Another Patch of Sky,https://photobookers.com/creators/brian-chorski,Guest Editions,https://photobookers.com/creators/guest-editions
Bruce Gilden,Black Country,https://photobookers.com/creators/bruce-gilden,Setanta Books,https://photobookers.com/creators/setanta-books
Carina Lammers & Jahnavi Sharma,DRAWERS,https://photobookers.com/creators/carina-lammers--jahnavi-sharma,Guest Editions,https://photobookers.com/creators/guest-editions
Carl Krow,A Lily's Wrath,https://photobookers.com/creators/carl-krow,,
Carl Wooley,COLLIDER,https://photobookers.com/creators/carl-wooley,TIS Books,https://photobookers.com/creators/tis-books
Carla Rossi,Bellissima,https://photobookers.com/creators/carla-rossi,Art Paper Editions,https://photobookers.com/creators/art-paper-editions
Caroline & Cyril Desroche,Los Angeles Standards,https://photobookers.com/creators/caroline--cyril-desroche,Poursuite Editions,https://photobookers.com/creators/poursuite-editions
Chad Moore,Eyes and Skies,https://photobookers.com/creators/chad-moore,Super Labo,https://photobookers.com/creators/super-labo
Chan Chao,Two Places on Earth,https://photobookers.com/creators/chan-chao,Nazraeli Press,https://photobookers.com/creators/nazraeli-press
Chance DeVille,Growing Tired of Calloused Knees,https://photobookers.com/creators/chance-deville,Gnomic Book,https://photobookers.com/creators/gnomic-book
